method,mechanism,dataset,missing_rate,n_imputations,param,mean_bias,mean_perc_bias,mean_cov_rate,mean_ci_width,mean_fmi,mean_runtime,total_reps
CART,MAR,large,0.3,10,x2,-0.04331487718632345,-14.438292395441177,0.958,0.23861996836009897,0.4081775787633085,0.2502287867069244,500.0
CART,MAR,large,0.3,10,x3,0.036905888286372396,18.452944143186222,0.994,0.24813125105166967,0.2827255748716275,0.2502287867069244,500.0
CART,MAR,large,0.3,10,z,-0.11994931963748176,-47.9797278549927,0.855,0.3439316530134379,0.32475849555007336,0.2502287867069244,500.0
CART,MAR,large,0.3,20,I(x1 * x2),-0.15519897783032754,-12.933248152527298,0.27699999999999997,0.25573716774603167,0.483075938283756,0.4833293724060058,500.0
CART,MAR,large,0.3,20,I(x2 ** 2),0.03832199067985845,7.664398135971706,0.954,0.2239438563725094,0.49552003865474253,0.4833293724060058,500.0
CART,MAR,large,0.3,20,I(x3 * z),-0.1378030717799228,-45.93435725997428,0.8240000000000001,0.35572312977186527,0.3770295112939467,0.4833293724060058,500.0
CART,MAR,large,0.3,20,x1,-0.06711041975779986,-22.37013991926664,0.881,0.21810567878482665,0.3746273127651074,0.4833293724060058,500.0
CART,MAR,large,0.3,20,x2,-0.0428930246965519,-14.297674898850651,0.962,0.2365217305473974,0.40594399445870144,0.4833293724060058,500.0
CART,MAR,large,0.3,20,x3,0.03689098307232075,18.445491536160414,0.997,0.2471295497907986,0.2820211052302696,0.4833293724060058,500.0
CART,MAR,large,0.3,20,z,-0.12019248655837335,-48.076994623349364,0.863,0.34167027302300246,0.32174000992296975,0.4833293724060058,500.0
CART,MAR,large,0.5,10,I(x1 * x2),-0.28006987224551916,-23.339156020459935,0.095,0.3561398033652384,0.659702181099027,0.2625910580158233,500.0
CART,MAR,large,0.5,10,I(x2 ** 2),0.07250981408317494,14.501962816635004,0.882,0.30896091936391035,0.6612406695433983,0.2625910580158233,500.0
CART,MAR,large,0.5,10,I(x3 * z),-0.188822020681186,-62.94067356039534,0.607,0.4179174858847766,0.44722381215577767,0.2625910580158233,500.0
CART,MAR,large,0.5,10,x1,-0.08760090112465804,-29.200300374886027,0.829,0.29059399359778165,0.5578127698675822,0.2625910580158233,500.0
CART,MAR,large,0.5,10,x2,-0.0570231596022674,-19.007719867422487,0.924,0.31388517846613023,0.5765761025561176,0.2625910580158233,500.0
CART,MAR,large,0.5,10,x3,0.022999082657968947,11.499541328984483,0.998,0.2982823224506912,0.40027210212348535,0.2625910580158233,500.0
CART,MAR,large,0.5,10,z,-0.1846968628527441,-73.87874514109765,0.603,0.413762730772272,0.4326202184652027,0.2625910580158233,500.0
CART,MAR,large,0.5,20,I(x1 * x2),-0.28032662216281345,-23.360551846901124,0.083,0.3535959852838158,0.6693325659877505,0.5225277445316314,500.0
CART,MAR,large,0.5,20,I(x2 ** 2),0.07246043418652595,14.492086837305193,0.891,0.3069395158433851,0.6693008931378573,0.5225277445316314,500.0
CART,MAR,large,0.5,20,I(x3 * z),-0.1901811304811528,-63.393710160384266,0.616,0.41494307951870457,0.44879777490376976,0.5225277445316314,500.0
CART,MAR,large,0.5,20,x1,-0.087227433984043,-29.075811328014353,0.8360000000000001,0.28552846166271717,0.55411142279544,0.5225277445316314,500.0
CART,MAR,large,0.5,20,x2,-0.05731419076520315,-19.10473025506772,0.926,0.309016848359204,0.5744061556953145,0.5225277445316314,500.0
CART,MAR,large,0.5,20,x3,0.0237458799504627,11.872939975231379,0.999,0.29533363409225394,0.3965725575393282,0.5225277445316314,500.0
CART,MAR,large,0.5,20,z,-0.18512475699311526,-74.04990279724612,0.604,0.4125075165925699,0.43786121958021357,0.5225277445316314,500.0
