method,mechanism,dataset,missing_rate,n_imputations,param,bootstrap,max_depth,max_features,min_samples_leaf,n_estimators,min_impurity_decrease,avg_estimate,avg_bias,avg_perc_bias,coverage_rate,avg_ci_width,avg_fmi,avg_runtime,n_reps
CART,MAR,large,0.3,10,x2,,None,,10.0,,0.0001,0.255,-0.045,-15.082,0.952,0.246,0.424,0.252,500.0
CART,MAR,large,0.3,10,x3,,None,,10.0,,0.0001,0.235,0.035,17.56,0.994,0.253,0.283,0.252,500.0
CART,MAR,large,0.3,10,z,,None,,10.0,,0.0001,0.124,-0.126,-50.318,0.84,0.35,0.326,0.252,500.0
CART,MAR,large,0.3,20,I(x1 * x2),,None,,5.0,,0.0001,1.059,-0.141,-11.74,0.35,0.246,0.464,0.486,500.0
CART,MAR,large,0.3,20,I(x2 ** 2),,None,,5.0,,0.0001,0.537,0.037,7.338,0.948,0.216,0.481,0.486,500.0
CART,MAR,large,0.3,20,I(x3 * z),,None,,5.0,,0.0001,0.168,-0.132,-44.053,0.838,0.348,0.371,0.486,500.0
CART,MAR,large,0.3,20,x1,,None,,5.0,,0.0001,0.237,-0.063,-21.002,0.902,0.213,0.367,0.486,500.0
CART,MAR,large,0.3,20,x2,,None,,5.0,,0.0001,0.259,-0.041,-13.594,0.966,0.229,0.391,0.486,500.0
CART,MAR,large,0.3,20,x3,,None,,5.0,,0.0001,0.238,0.038,19.181,0.996,0.243,0.282,0.486,500.0
CART,MAR,large,0.3,20,z,,None,,5.0,,0.0001,0.136,-0.114,-45.675,0.878,0.335,0.321,0.486,500.0
CART,MAR,large,0.3,20,I(x1 * x2),,None,,10.0,,0.0001,1.03,-0.17,-14.127,0.204,0.266,0.502,0.481,500.0
CART,MAR,large,0.3,20,I(x2 ** 2),,None,,10.0,,0.0001,0.54,0.04,7.991,0.96,0.232,0.51,0.481,500.0
CART,MAR,large,0.3,20,I(x3 * z),,None,,10.0,,0.0001,0.157,-0.143,-47.815,0.81,0.364,0.383,0.481,500.0
CART,MAR,large,0.3,20,x1,,None,,10.0,,0.0001,0.229,-0.071,-23.739,0.86,0.224,0.383,0.481,500.0
CART,MAR,large,0.3,20,x2,,None,,10.0,,0.0001,0.255,-0.045,-15.002,0.958,0.244,0.421,0.481,500.0
CART,MAR,large,0.3,20,x3,,None,,10.0,,0.0001,0.235,0.035,17.71,0.998,0.251,0.282,0.481,500.0
CART,MAR,large,0.3,20,z,,None,,10.0,,0.0001,0.124,-0.126,-50.479,0.848,0.348,0.323,0.481,500.0
CART,MAR,large,0.5,10,I(x1 * x2),,None,,5.0,,0.0001,0.952,-0.248,-20.658,0.132,0.334,0.638,0.263,500.0
CART,MAR,large,0.5,10,I(x2 ** 2),,None,,5.0,,0.0001,0.564,0.064,12.822,0.888,0.294,0.65,0.263,500.0
CART,MAR,large,0.5,10,I(x3 * z),,None,,5.0,,0.0001,0.117,-0.183,-60.923,0.604,0.407,0.449,0.263,500.0
CART,MAR,large,0.5,10,x1,,None,,5.0,,0.0001,0.222,-0.078,-25.97,0.86,0.278,0.548,0.263,500.0
CART,MAR,large,0.5,10,x2,,None,,5.0,,0.0001,0.245,-0.055,-18.306,0.924,0.302,0.569,0.263,500.0
CART,MAR,large,0.5,10,x3,,None,,5.0,,0.0001,0.226,0.026,12.856,0.996,0.291,0.404,0.263,500.0
CART,MAR,large,0.5,10,z,,None,,5.0,,0.0001,0.072,-0.178,-71.189,0.614,0.402,0.433,0.263,500.0
CART,MAR,large,0.5,10,I(x1 * x2),,None,,10.0,,0.0001,0.888,-0.312,-26.021,0.058,0.379,0.681,0.263,500.0
CART,MAR,large,0.5,10,I(x2 ** 2),,None,,10.0,,0.0001,0.581,0.081,16.182,0.876,0.324,0.673,0.263,500.0
CART,MAR,large,0.5,10,I(x3 * z),,None,,10.0,,0.0001,0.105,-0.195,-64.958,0.61,0.429,0.445,0.263,500.0
CART,MAR,large,0.5,10,x1,,None,,10.0,,0.0001,0.203,-0.097,-32.43,0.798,0.303,0.567,0.263,500.0
CART,MAR,large,0.5,10,x2,,None,,10.0,,0.0001,0.241,-0.059,-19.709,0.924,0.326,0.584,0.263,500.0
CART,MAR,large,0.5,10,x3,,None,,10.0,,0.0001,0.22,0.02,10.143,1.0,0.306,0.396,0.263,500.0
CART,MAR,large,0.5,10,z,,None,,10.0,,0.0001,0.059,-0.191,-76.569,0.592,0.426,0.432,0.263,500.0
CART,MAR,large,0.5,20,I(x1 * x2),,None,,5.0,,0.0001,0.952,-0.248,-20.684,0.124,0.332,0.65,0.518,500.0
CART,MAR,large,0.5,20,I(x2 ** 2),,None,,5.0,,0.0001,0.565,0.065,12.948,0.894,0.291,0.656,0.518,500.0
CART,MAR,large,0.5,20,I(x3 * z),,None,,5.0,,0.0001,0.116,-0.184,-61.285,0.626,0.406,0.455,0.518,500.0
CART,MAR,large,0.5,20,x1,,None,,5.0,,0.0001,0.222,-0.078,-25.939,0.862,0.273,0.544,0.518,500.0
CART,MAR,large,0.5,20,x2,,None,,5.0,,0.0001,0.245,-0.055,-18.425,0.922,0.296,0.565,0.518,500.0
CART,MAR,large,0.5,20,x3,,None,,5.0,,0.0001,0.227,0.027,13.253,0.998,0.288,0.4,0.518,500.0
CART,MAR,large,0.5,20,z,,None,,5.0,,0.0001,0.072,-0.178,-71.144,0.612,0.403,0.444,0.518,500.0
CART,MAR,large,0.5,20,I(x1 * x2),,None,,10.0,,0.0001,0.888,-0.312,-26.038,0.042,0.375,0.689,0.527,500.0
CART,MAR,large,0.5,20,I(x2 ** 2),,None,,10.0,,0.0001,0.58,0.08,16.036,0.888,0.323,0.683,0.527,500.0
CART,MAR,large,0.5,20,I(x3 * z),,None,,10.0,,0.0001,0.103,-0.197,-65.502,0.606,0.424,0.442,0.527,500.0
CART,MAR,large,0.5,20,x1,,None,,10.0,,0.0001,0.203,-0.097,-32.213,0.81,0.298,0.565,0.527,500.0
CART,MAR,large,0.5,20,x2,,None,,10.0,,0.0001,0.241,-0.059,-19.785,0.93,0.322,0.584,0.527,500.0
CART,MAR,large,0.5,20,x3,,None,,10.0,,0.0001,0.221,0.021,10.493,1.0,0.303,0.394,0.527,500.0
CART,MAR,large,0.5,20,z,,None,,10.0,,0.0001,0.058,-0.192,-76.956,0.596,0.422,0.431,0.527,500.0
CART,MAR,medium,0.2,10,I(x1 * x2),,None,,5.0,,0.0001,0.521,-0.079,-13.212,0.784,0.193,0.265,0.243,500.0
CART,MAR,medium,0.2,10,I(x2 ** 2),,None,,5.0,,0.0001,0.278,0.028,11.227,0.99,0.165,0.258,0.243,500.0
CART,MAR,medium,0.2,10,I(x3 * z),,None,,5.0,,0.0001,0.101,-0.049,-32.86,0.998,0.295,0.257,0.243,500.0
CART,MAR,medium,0.2,10,x1,,None,,5.0,,0.0001,0.243,-0.057,-19.124,0.922,0.178,0.235,0.243,500.0
CART,MAR,medium,0.2,10,x2,,None,,5.0,,0.0001,0.269,-0.031,-10.354,0.996,0.187,0.224,0.243,500.0
CART,MAR,medium,0.2,10,x3,,None,,5.0,,0.0001,0.242,0.042,20.762,0.998,0.21,0.187,0.243,500.0
CART,MAR,medium,0.2,10,z,,None,,5.0,,0.0001,0.2,-0.05,-19.844,1.0,0.286,0.207,0.243,500.0
CART,MAR,medium,0.2,10,I(x1 * x2),,None,,10.0,,0.0001,0.512,-0.088,-14.637,0.682,0.197,0.285,0.245,500.0
CART,MAR,medium,0.2,10,I(x2 ** 2),,None,,10.0,,0.0001,0.276,0.026,10.477,0.996,0.168,0.276,0.245,500.0
CART,MAR,medium,0.2,10,I(x3 * z),,None,,10.0,,0.0001,0.094,-0.056,-37.371,1.0,0.3,0.269,0.245,500.0
CART,MAR,medium,0.2,10,x1,,None,,10.0,,0.0001,0.24,-0.06,-20.081,0.906,0.181,0.242,0.245,500.0
CART,MAR,medium,0.2,10,x2,,None,,10.0,,0.0001,0.267,-0.033,-11.016,0.994,0.19,0.237,0.245,500.0
CART,MAR,medium,0.2,10,x3,,None,,10.0,,0.0001,0.239,0.039,19.504,1.0,0.213,0.191,0.245,500.0
CART,MAR,medium,0.2,10,z,,None,,10.0,,0.0001,0.194,-0.056,-22.394,0.996,0.289,0.212,0.245,500.0
CART,MAR,medium,0.2,20,I(x1 * x2),,None,,5.0,,0.0001,0.521,-0.079,-13.21,0.788,0.192,0.265,0.469,500.0
CART,MAR,medium,0.2,20,I(x2 ** 2),,None,,5.0,,0.0001,0.278,0.028,11.24,0.992,0.165,0.26,0.469,500.0
CART,MAR,medium,0.2,20,I(x3 * z),,None,,5.0,,0.0001,0.101,-0.049,-32.768,0.998,0.294,0.257,0.469,500.0
CART,MAR,medium,0.2,20,x1,,None,,5.0,,0.0001,0.242,-0.058,-19.199,0.938,0.178,0.235,0.469,500.0
CART,MAR,medium,0.2,20,x2,,None,,5.0,,0.0001,0.269,-0.031,-10.241,0.998,0.187,0.226,0.469,500.0
CART,MAR,medium,0.2,20,x3,,None,,5.0,,0.0001,0.241,0.041,20.642,0.998,0.21,0.184,0.469,500.0
CART,MAR,medium,0.2,20,z,,None,,5.0,,0.0001,0.201,-0.049,-19.726,0.998,0.285,0.203,0.469,500.0
CART,MAR,medium,0.2,20,I(x1 * x2),,None,,10.0,,0.0001,0.512,-0.088,-14.601,0.698,0.196,0.283,0.466,500.0
CART,MAR,medium,0.2,20,I(x2 ** 2),,None,,10.0,,0.0001,0.276,0.026,10.408,0.992,0.168,0.273,0.466,500.0
CART,MAR,medium,0.2,20,I(x3 * z),,None,,10.0,,0.0001,0.094,-0.056,-37.35,1.0,0.298,0.266,0.466,500.0
