method,mechanism,dataset,missing_rate,n_imputations,param,bootstrap,max_depth,max_features,min_samples_leaf,n_estimators,min_impurity_decrease,avg_estimate,avg_bias,avg_perc_bias,coverage_rate,avg_ci_width,avg_fmi,avg_runtime,n_reps
CART,MAR,small,0.3,10,x1,,None,,5.0,,0.0001,0.24,-0.06,-19.901,0.86,0.188,0.326,0.251,500.0
CART,MAR,small,0.3,10,x2,,None,,5.0,,0.0001,0.268,-0.032,-10.701,0.974,0.195,0.3,0.251,500.0
CART,MAR,small,0.3,10,x3,,None,,5.0,,0.0001,0.239,0.039,19.27,0.99,0.219,0.263,0.251,500.0
CART,MAR,small,0.3,10,z,,None,,5.0,,0.0001,0.197,-0.053,-21.035,0.996,0.3,0.294,0.251,500.0
CART,MAR,small,0.3,10,I(x1 * x2),,None,,10.0,,0.0001,0.12,-0.06,-33.229,0.906,0.201,0.336,0.246,500.0
CART,MAR,small,0.3,10,I(x2 ** 2),,None,,10.0,,0.0001,0.09,0.015,20.275,0.998,0.173,0.336,0.246,500.0
CART,MAR,small,0.3,10,I(x3 * z),,None,,10.0,,0.0001,0.002,-0.043,-95.165,1.0,0.305,0.316,0.246,500.0
CART,MAR,small,0.3,10,x1,,None,,10.0,,0.0001,0.238,-0.062,-20.53,0.854,0.19,0.335,0.246,500.0
CART,MAR,small,0.3,10,x2,,None,,10.0,,0.0001,0.265,-0.035,-11.807,0.976,0.196,0.306,0.246,500.0
CART,MAR,small,0.3,10,x3,,None,,10.0,,0.0001,0.236,0.036,18.174,0.996,0.218,0.254,0.246,500.0
CART,MAR,small,0.3,10,z,,None,,10.0,,0.0001,0.19,-0.06,-23.869,0.988,0.299,0.287,0.246,500.0
CART,MAR,small,0.3,20,I(x1 * x2),,None,,5.0,,0.0001,0.124,-0.056,-31.229,0.916,0.198,0.326,0.482,500.0
CART,MAR,small,0.3,20,I(x2 ** 2),,None,,5.0,,0.0001,0.094,0.019,25.446,0.992,0.17,0.319,0.482,500.0
CART,MAR,small,0.3,20,I(x3 * z),,None,,5.0,,0.0001,0.009,-0.036,-80.591,1.0,0.305,0.327,0.482,500.0
CART,MAR,small,0.3,20,x1,,None,,5.0,,0.0001,0.24,-0.06,-20.052,0.884,0.187,0.326,0.482,500.0
CART,MAR,small,0.3,20,x2,,None,,5.0,,0.0001,0.268,-0.032,-10.619,0.978,0.194,0.301,0.482,500.0
CART,MAR,small,0.3,20,x3,,None,,5.0,,0.0001,0.239,0.039,19.512,0.994,0.218,0.26,0.482,500.0
CART,MAR,small,0.3,20,z,,None,,5.0,,0.0001,0.197,-0.053,-21.018,0.996,0.298,0.288,0.482,500.0
CART,MAR,small,0.3,20,I(x1 * x2),,None,,10.0,,0.0001,0.121,-0.059,-32.989,0.902,0.2,0.337,0.475,500.0
CART,MAR,small,0.3,20,I(x2 ** 2),,None,,10.0,,0.0001,0.09,0.015,20.22,0.998,0.172,0.334,0.475,500.0
CART,MAR,small,0.3,20,I(x3 * z),,None,,10.0,,0.0001,0.002,-0.043,-95.332,1.0,0.303,0.313,0.475,500.0
CART,MAR,small,0.3,20,x1,,None,,10.0,,0.0001,0.238,-0.062,-20.602,0.858,0.189,0.334,0.475,500.0
CART,MAR,small,0.3,20,x2,,None,,10.0,,0.0001,0.265,-0.035,-11.622,0.976,0.196,0.308,0.475,500.0
CART,MAR,small,0.3,20,x3,,None,,10.0,,0.0001,0.237,0.037,18.302,0.994,0.217,0.253,0.475,500.0
CART,MAR,small,0.3,20,z,,None,,10.0,,0.0001,0.191,-0.059,-23.502,0.996,0.297,0.281,0.475,500.0
CART,MAR,small,0.5,10,I(x1 * x2),,None,,5.0,,0.0001,0.114,-0.066,-36.486,0.862,0.235,0.496,0.273,500.0
CART,MAR,small,0.5,10,I(x2 ** 2),,None,,5.0,,0.0001,0.087,0.012,15.391,0.994,0.202,0.491,0.273,500.0
CART,MAR,small,0.5,10,I(x3 * z),,None,,5.0,,0.0001,-0.012,-0.057,-126.002,0.996,0.34,0.432,0.273,500.0
CART,MAR,small,0.5,10,x1,,None,,5.0,,0.0001,0.236,-0.064,-21.344,0.848,0.225,0.505,0.273,500.0
CART,MAR,small,0.5,10,x2,,None,,5.0,,0.0001,0.259,-0.041,-13.626,0.92,0.229,0.473,0.273,500.0
CART,MAR,small,0.5,10,x3,,None,,5.0,,0.0001,0.231,0.031,15.627,0.986,0.25,0.412,0.273,500.0
CART,MAR,small,0.5,10,z,,None,,5.0,,0.0001,0.155,-0.095,-37.83,0.91,0.348,0.449,0.273,500.0
CART,MAR,small,0.5,10,I(x1 * x2),,None,,10.0,,0.0001,0.107,-0.073,-40.479,0.844,0.237,0.499,0.264,500.0
CART,MAR,small,0.5,10,I(x2 ** 2),,None,,10.0,,0.0001,0.082,0.007,9.268,0.996,0.206,0.505,0.264,500.0
CART,MAR,small,0.5,10,I(x3 * z),,None,,10.0,,0.0001,-0.019,-0.064,-141.817,0.994,0.334,0.409,0.264,500.0
CART,MAR,small,0.5,10,x1,,None,,10.0,,0.0001,0.231,-0.069,-23.106,0.816,0.23,0.522,0.264,500.0
CART,MAR,small,0.5,10,x2,,None,,10.0,,0.0001,0.256,-0.044,-14.521,0.928,0.236,0.499,0.264,500.0
CART,MAR,small,0.5,10,x3,,None,,10.0,,0.0001,0.226,0.026,13.041,0.996,0.246,0.395,0.264,500.0
CART,MAR,small,0.5,10,z,,None,,10.0,,0.0001,0.146,-0.104,-41.739,0.852,0.345,0.436,0.264,500.0
CART,MAR,small,0.5,20,I(x1 * x2),,None,,5.0,,0.0001,0.114,-0.066,-36.587,0.864,0.233,0.498,0.52,500.0
CART,MAR,small,0.5,20,I(x2 ** 2),,None,,5.0,,0.0001,0.087,0.012,15.426,0.996,0.202,0.501,0.52,500.0
CART,MAR,small,0.5,20,I(x3 * z),,None,,5.0,,0.0001,-0.012,-0.057,-126.603,0.992,0.337,0.434,0.52,500.0
CART,MAR,small,0.5,20,x1,,None,,5.0,,0.0001,0.235,-0.065,-21.62,0.84,0.224,0.511,0.52,500.0
CART,MAR,small,0.5,20,x2,,None,,5.0,,0.0001,0.259,-0.041,-13.623,0.942,0.229,0.483,0.52,500.0
CART,MAR,small,0.5,20,x3,,None,,5.0,,0.0001,0.231,0.031,15.729,0.984,0.247,0.411,0.52,500.0
CART,MAR,small,0.5,20,z,,None,,5.0,,0.0001,0.156,-0.094,-37.77,0.916,0.345,0.452,0.52,500.0
CART,MAR,small,0.5,20,I(x1 * x2),,None,,10.0,,0.0001,0.107,-0.073,-40.444,0.846,0.236,0.506,0.525,500.0
CART,MAR,small,0.5,20,I(x2 ** 2),,None,,10.0,,0.0001,0.082,0.007,9.379,0.996,0.204,0.508,0.525,500.0
CART,MAR,small,0.5,20,I(x3 * z),,None,,10.0,,0.0001,-0.019,-0.064,-142.31,0.996,0.332,0.413,0.525,500.0
CART,MAR,small,0.5,20,x1,,None,,10.0,,0.0001,0.23,-0.07,-23.275,0.808,0.228,0.523,0.525,500.0
CART,MAR,small,0.5,20,x2,,None,,10.0,,0.0001,0.256,-0.044,-14.722,0.94,0.234,0.498,0.525,500.0
CART,MAR,small,0.5,20,x3,,None,,10.0,,0.0001,0.227,0.027,13.256,0.994,0.245,0.397,0.525,500.0
CART,MAR,small,0.5,20,z,,None,,10.0,,0.0001,0.146,-0.104,-41.745,0.868,0.344,0.445,0.525,500.0
CART,MCAR,large,0.2,10,I(x1 * x2),,None,,5.0,,0.0001,1.109,-0.091,-7.577,0.698,0.212,0.335,0.285,500.0
CART,MCAR,large,0.2,10,I(x2 ** 2),,None,,5.0,,0.0001,0.538,0.038,7.632,0.938,0.187,0.357,0.285,500.0
CART,MCAR,large,0.2,10,I(x3 * z),,None,,5.0,,0.0001,0.282,-0.018,-6.117,1.0,0.303,0.24,0.285,500.0
CART,MCAR,large,0.2,10,x1,,None,,5.0,,0.0001,0.244,-0.056,-18.542,0.922,0.188,0.251,0.285,500.0
CART,MCAR,large,0.2,10,x2,,None,,5.0,,0.0001,0.281,-0.019,-6.482,1.0,0.203,0.284,0.285,500.0
CART,MCAR,large,0.2,10,x3,,None,,5.0,,0.0001,0.244,0.044,21.973,0.998,0.226,0.234,0.285,500.0
CART,MCAR,large,0.2,10,z,,None,,5.0,,0.0001,0.225,-0.025,-9.953,1.0,0.301,0.225,0.285,500.0
CART,MCAR,large,0.2,10,I(x1 * x2),,None,,10.0,,0.0001,1.098,-0.102,-8.521,0.612,0.225,0.375,0.3,500.0
CART,MCAR,large,0.2,10,I(x2 ** 2),,None,,10.0,,0.0001,0.538,0.038,7.695,0.948,0.196,0.384,0.3,500.0
CART,MCAR,large,0.2,10,I(x3 * z),,None,,10.0,,0.0001,0.279,-0.021,-6.85,1.0,0.312,0.251,0.3,500.0
CART,MCAR,large,0.2,10,x1,,None,,10.0,,0.0001,0.243,-0.057,-18.945,0.92,0.196,0.278,0.3,500.0
CART,MCAR,large,0.2,10,x2,,None,,10.0,,0.0001,0.282,-0.018,-6.005,1.0,0.213,0.316,0.3,500.0
CART,MCAR,large,0.2,10,x3,,None,,10.0,,0.0001,0.24,0.04,20.12,1.0,0.234,0.251,0.3,500.0
CART,MCAR,large,0.2,10,z,,None,,10.0,,0.0001,0.219,-0.031,-12.305,1.0,0.311,0.239,0.3,500.0
CART,MCAR,large,0.2,20,I(x1 * x2),,None,,5.0,,0.0001,1.109,-0.091,-7.57,0.688,0.211,0.335,0.581,500.0
CART,MCAR,large,0.2,20,I(x2 ** 2),,None,,5.0,,0.0001,0.538,0.038,7.621,0.94,0.186,0.361,0.581,500.0
CART,MCAR,large,0.2,20,I(x3 * z),,None,,5.0,,0.0001,0.281,-0.019,-6.272,1.0,0.301,0.236,0.581,500.0
CART,MCAR,large,0.2,20,x1,,None,,5.0,,0.0001,0.245,-0.055,-18.49,0.942,0.187,0.252,0.581,500.0
CART,MCAR,large,0.2,20,x2,,None,,5.0,,0.0001,0.281,-0.019,-6.485,1.0,0.202,0.282,0.581,500.0
CART,MCAR,large,0.2,20,x3,,None,,5.0,,0.0001,0.244,0.044,22.054,1.0,0.225,0.234,0.581,500.0
CART,MCAR,large,0.2,20,z,,None,,5.0,,0.0001,0.224,-0.026,-10.214,1.0,0.3,0.221,0.581,500.0
CART,MCAR,large,0.2,20,I(x1 * x2),,None,,10.0,,0.0001,1.099,-0.101,-8.445,0.628,0.224,0.38,0.584,500.0
CART,MCAR,large,0.2,20,I(x2 ** 2),,None,,10.0,,0.0001,0.538,0.038,7.558,0.95,0.195,0.387,0.584,500.0
CART,MCAR,large,0.2,20,I(x3 * z),,None,,10.0,,0.0001,0.279,-0.021,-7.041,1.0,0.312,0.253,0.584,500.0
CART,MCAR,large,0.2,20,x1,,None,,10.0,,0.0001,0.243,-0.057,-18.898,0.932,0.195,0.275,0.584,500.0
CART,MCAR,large,0.2,20,x2,,None,,10.0,,0.0001,0.281,-0.019,-6.22,1.0,0.211,0.31,0.584,500.0
CART,MCAR,large,0.2,20,x3,,None,,10.0,,0.0001,0.241,0.041,20.355,1.0,0.233,0.251,0.584,500.0
CART,MCAR,large,0.2,20,z,,None,,10.0,,0.0001,0.22,-0.03,-12.189,1.0,0.31,0.237,0.584,500.0
CART,MCAR,large,0.3,10,I(x1 * x2),,None,,5.0,,0.0001,1.079,-0.121,-10.089,0.494,0.242,0.444,0.336,500.0
CART,MCAR,large,0.3,10,I(x2 ** 2),,None,,5.0,,0.0001,0.548,0.048,9.507,0.906,0.216,0.47,0.336,500.0
CART,MCAR,large,0.3,10,I(x3 * z),,None,,5.0,,0.0001,0.251,-0.049,-16.292,0.994,0.333,0.321,0.336,500.0
CART,MCAR,large,0.3,10,x1,,None,,5.0,,0.0001,0.243,-0.057,-19.08,0.916,0.209,0.343,0.336,500.0
CART,MCAR,large,0.3,10,x2,,None,,5.0,,0.0001,0.28,-0.02,-6.596,0.99,0.228,0.383,0.336,500.0
CART,MCAR,large,0.3,10,x3,,None,,5.0,,0.0001,0.245,0.045,22.639,0.996,0.247,0.31,0.336,500.0
CART,MCAR,large,0.3,10,z,,None,,5.0,,0.0001,0.206,-0.044,-17.469,0.994,0.332,0.31,0.336,500.0
CART,MCAR,large,0.3,10,I(x1 * x2),,None,,10.0,,0.0001,1.058,-0.142,-11.799,0.428,0.262,0.486,0.293,500.0
CART,MCAR,large,0.3,10,I(x2 ** 2),,None,,10.0,,0.0001,0.55,0.05,10.001,0.89,0.229,0.493,0.293,500.0
CART,MCAR,large,0.3,10,I(x3 * z),,None,,10.0,,0.0001,0.247,-0.053,-17.576,0.998,0.349,0.336,0.293,500.0
CART,MCAR,large,0.3,10,x1,,None,,10.0,,0.0001,0.241,-0.059,-19.814,0.922,0.221,0.368,0.293,500.0
CART,MCAR,large,0.3,10,x2,,None,,10.0,,0.0001,0.281,-0.019,-6.256,0.986,0.242,0.412,0.293,500.0
CART,MCAR,large,0.3,10,x3,,None,,10.0,,0.0001,0.241,0.041,20.627,1.0,0.26,0.329,0.293,500.0
CART,MCAR,large,0.3,10,z,,None,,10.0,,0.0001,0.196,-0.054,-21.455,0.992,0.347,0.321,0.293,500.0
CART,MCAR,large,0.3,20,I(x1 * x2),,None,,5.0,,0.0001,1.08,-0.12,-10.029,0.518,0.242,0.453,0.496,500.0
CART,MCAR,large,0.3,20,I(x2 ** 2),,None,,5.0,,0.0001,0.547,0.047,9.494,0.922,0.214,0.472,0.496,500.0
CART,MCAR,large,0.3,20,I(x3 * z),,None,,5.0,,0.0001,0.25,-0.05,-16.506,0.996,0.33,0.315,0.496,500.0
CART,MCAR,large,0.3,20,x1,,None,,5.0,,0.0001,0.243,-0.057,-18.978,0.924,0.208,0.345,0.496,500.0
CART,MCAR,large,0.3,20,x2,,None,,5.0,,0.0001,0.28,-0.02,-6.642,0.988,0.226,0.384,0.496,500.0
CART,MCAR,large,0.3,20,x3,,None,,5.0,,0.0001,0.246,0.046,23.016,0.99,0.246,0.309,0.496,500.0
CART,MCAR,large,0.3,20,z,,None,,5.0,,0.0001,0.206,-0.044,-17.734,0.996,0.329,0.303,0.496,500.0
CART,MCAR,large,0.3,20,I(x1 * x2),,None,,10.0,,0.0001,1.059,-0.141,-11.713,0.42,0.261,0.492,0.596,500.0
CART,MCAR,large,0.3,20,I(x2 ** 2),,None,,10.0,,0.0001,0.549,0.049,9.847,0.908,0.228,0.498,0.596,500.0
CART,MCAR,large,0.3,20,I(x3 * z),,None,,10.0,,0.0001,0.246,-0.054,-17.967,0.996,0.346,0.333,0.596,500.0
CART,MCAR,large,0.3,20,x1,,None,,10.0,,0.0001,0.242,-0.058,-19.486,0.928,0.219,0.368,0.596,500.0
CART,MCAR,large,0.3,20,x2,,None,,10.0,,0.0001,0.281,-0.019,-6.324,0.994,0.239,0.404,0.596,500.0
CART,MCAR,large,0.3,20,x3,,None,,10.0,,0.0001,0.242,0.042,21.064,1.0,0.258,0.325,0.596,500.0
CART,MCAR,large,0.3,20,z,,None,,10.0,,0.0001,0.197,-0.053,-21.388,0.996,0.345,0.319,0.596,500.0
CART,MCAR,large,0.5,10,I(x1 * x2),,None,,5.0,,0.0001,0.992,-0.208,-17.374,0.25,0.328,0.626,0.34,500.0
CART,MCAR,large,0.5,10,I(x2 ** 2),,None,,5.0,,0.0001,0.572,0.072,14.323,0.848,0.29,0.637,0.34,500.0
CART,MCAR,large,0.5,10,I(x3 * z),,None,,5.0,,0.0001,0.199,-0.101,-33.632,0.954,0.399,0.434,0.34,500.0
CART,MCAR,large,0.5,10,x1,,None,,5.0,,0.0001,0.238,-0.062,-20.507,0.91,0.266,0.509,0.34,500.0
CART,MCAR,large,0.5,10,x2,,None,,5.0,,0.0001,0.286,-0.014,-4.652,0.976,0.291,0.543,0.34,500.0
CART,MCAR,large,0.5,10,x3,,None,,5.0,,0.0001,0.244,0.044,21.823,0.996,0.299,0.434,0.34,500.0
CART,MCAR,large,0.5,10,z,,None,,5.0,,0.0001,0.159,-0.091,-36.23,0.98,0.396,0.421,0.34,500.0
CART,MCAR,large,0.5,10,I(x1 * x2),,None,,10.0,,0.0001,0.941,-0.259,-21.608,0.126,0.364,0.661,0.261,500.0
CART,MCAR,large,0.5,10,I(x2 ** 2),,None,,10.0,,0.0001,0.585,0.085,16.943,0.868,0.321,0.672,0.261,500.0
CART,MCAR,large,0.5,10,I(x3 * z),,None,,10.0,,0.0001,0.189,-0.111,-37.03,0.944,0.421,0.433,0.261,500.0
CART,MCAR,large,0.5,10,x1,,None,,10.0,,0.0001,0.235,-0.065,-21.635,0.916,0.288,0.528,0.261,500.0
CART,MCAR,large,0.5,10,x2,,None,,10.0,,0.0001,0.287,-0.013,-4.224,0.982,0.314,0.557,0.261,500.0
CART,MCAR,large,0.5,10,x3,,None,,10.0,,0.0001,0.237,0.037,18.705,0.998,0.312,0.422,0.261,500.0
CART,MCAR,large,0.5,10,z,,None,,10.0,,0.0001,0.149,-0.101,-40.521,0.962,0.423,0.43,0.261,500.0
CART,MCAR,large,0.5,20,I(x1 * x2),,None,,5.0,,0.0001,0.992,-0.208,-17.362,0.236,0.325,0.633,0.626,500.0
CART,MCAR,large,0.5,20,I(x2 ** 2),,None,,5.0,,0.0001,0.571,0.071,14.225,0.878,0.287,0.646,0.626,500.0
CART,MCAR,large,0.5,20,I(x3 * z),,None,,5.0,,0.0001,0.198,-0.102,-33.844,0.96,0.397,0.436,0.626,500.0
CART,MCAR,large,0.5,20,x1,,None,,5.0,,0.0001,0.239,-0.061,-20.245,0.928,0.266,0.521,0.626,500.0
CART,MCAR,large,0.5,20,x2,,None,,5.0,,0.0001,0.285,-0.015,-4.947,0.988,0.291,0.552,0.626,500.0
CART,MCAR,large,0.5,20,x3,,None,,5.0,,0.0001,0.244,0.044,21.929,0.994,0.297,0.436,0.626,500.0
CART,MCAR,large,0.5,20,z,,None,,5.0,,0.0001,0.16,-0.09,-36.193,0.978,0.393,0.42,0.626,500.0
CART,MCAR,large,0.5,20,I(x1 * x2),,None,,10.0,,0.0001,0.94,-0.26,-21.661,0.104,0.362,0.671,0.669,500.0
CART,MCAR,large,0.5,20,I(x2 ** 2),,None,,10.0,,0.0001,0.585,0.085,16.966,0.864,0.317,0.673,0.669,500.0
CART,MCAR,large,0.5,20,I(x3 * z),,None,,10.0,,0.0001,0.188,-0.112,-37.203,0.958,0.42,0.438,0.669,500.0
CART,MCAR,large,0.5,20,x1,,None,,10.0,,0.0001,0.236,-0.064,-21.313,0.932,0.286,0.536,0.669,500.0
CART,MCAR,large,0.5,20,x2,,None,,10.0,,0.0001,0.286,-0.014,-4.513,0.986,0.315,0.569,0.669,500.0
CART,MCAR,large,0.5,20,x3,,None,,10.0,,0.0001,0.238,0.038,19.05,0.998,0.311,0.427,0.669,500.0
CART,MCAR,large,0.5,20,z,,None,,10.0,,0.0001,0.148,-0.102,-40.667,0.972,0.419,0.429,0.669,500.0
CART,MCAR,medium,0.2,10,I(x1 * x2),,None,,5.0,,0.0001,0.53,-0.07,-11.594,0.818,0.188,0.242,0.294,500.0
CART,MCAR,medium,0.2,10,I(x2 ** 2),,None,,5.0,,0.0001,0.282,0.032,12.619,0.96,0.163,0.243,0.294,500.0
CART,MCAR,medium,0.2,10,I(x3 * z),,None,,5.0,,0.0001,0.154,0.004,2.787,1.0,0.283,0.206,0.294,500.0
CART,MCAR,medium,0.2,10,x1,,None,,5.0,,0.0001,0.242,-0.058,-19.35,0.898,0.175,0.215,0.294,500.0
CART,MCAR,medium,0.2,10,x2,,None,,5.0,,0.0001,0.28,-0.02,-6.583,1.0,0.186,0.222,0.294,500.0
CART,MCAR,medium,0.2,10,x3,,None,,5.0,,0.0001,0.242,0.042,21.021,0.992,0.211,0.198,0.294,500.0
CART,MCAR,medium,0.2,10,z,,None,,5.0,,0.0001,0.23,-0.02,-8.098,1.0,0.284,0.202,0.294,500.0
CART,MCAR,medium,0.2,10,I(x1 * x2),,None,,10.0,,0.0001,0.526,-0.074,-12.402,0.766,0.192,0.259,0.3,500.0
CART,MCAR,medium,0.2,10,I(x2 ** 2),,None,,10.0,,0.0001,0.282,0.032,12.61,0.97,0.166,0.259,0.3,500.0
CART,MCAR,medium,0.2,10,I(x3 * z),,None,,10.0,,0.0001,0.154,0.004,2.668,1.0,0.287,0.212,0.3,500.0
CART,MCAR,medium,0.2,10,x1,,None,,10.0,,0.0001,0.241,-0.059,-19.831,0.9,0.176,0.215,0.3,500.0
CART,MCAR,medium,0.2,10,x2,,None,,10.0,,0.0001,0.281,-0.019,-6.291,1.0,0.188,0.227,0.3,500.0
CART,MCAR,medium,0.2,10,x3,,None,,10.0,,0.0001,0.238,0.038,19.194,0.998,0.214,0.207,0.3,500.0
CART,MCAR,medium,0.2,10,z,,None,,10.0,,0.0001,0.225,-0.025,-9.87,1.0,0.287,0.207,0.3,500.0
CART,MCAR,medium,0.2,20,I(x1 * x2),,None,,5.0,,0.0001,0.53,-0.07,-11.604,0.822,0.188,0.242,0.559,500.0
CART,MCAR,medium,0.2,20,I(x2 ** 2),,None,,5.0,,0.0001,0.282,0.032,12.761,0.966,0.162,0.239,0.559,500.0
CART,MCAR,medium,0.2,20,I(x3 * z),,None,,5.0,,0.0001,0.154,0.004,2.413,1.0,0.282,0.202,0.559,500.0
CART,MCAR,medium,0.2,20,x1,,None,,5.0,,0.0001,0.242,-0.058,-19.27,0.9,0.174,0.21,0.559,500.0
CART,MCAR,medium,0.2,20,x2,,None,,5.0,,0.0001,0.28,-0.02,-6.651,1.0,0.185,0.216,0.559,500.0
CART,MCAR,medium,0.2,20,x3,,None,,5.0,,0.0001,0.242,0.042,21.154,0.996,0.211,0.198,0.559,500.0
CART,MCAR,medium,0.2,20,z,,None,,5.0,,0.0001,0.23,-0.02,-8.07,1.0,0.282,0.194,0.559,500.0
CART,MCAR,medium,0.2,20,I(x1 * x2),,None,,10.0,,0.0001,0.526,-0.074,-12.368,0.784,0.191,0.258,0.599,500.0
CART,MCAR,medium,0.2,20,I(x2 ** 2),,None,,10.0,,0.0001,0.281,0.031,12.585,0.966,0.165,0.255,0.599,500.0
CART,MCAR,medium,0.2,20,I(x3 * z),,None,,10.0,,0.0001,0.153,0.003,2.242,1.0,0.285,0.208,0.599,500.0
CART,MCAR,medium,0.2,20,x1,,None,,10.0,,0.0001,0.241,-0.059,-19.644,0.892,0.176,0.214,0.599,500.0
CART,MCAR,medium,0.2,20,x2,,None,,10.0,,0.0001,0.281,-0.019,-6.418,1.0,0.187,0.223,0.599,500.0
CART,MCAR,medium,0.2,20,x3,,None,,10.0,,0.0001,0.239,0.039,19.365,1.0,0.213,0.206,0.599,500.0
CART,MCAR,medium,0.2,20,z,,None,,10.0,,0.0001,0.225,-0.025,-9.808,1.0,0.285,0.201,0.599,500.0
CART,MCAR,medium,0.3,10,I(x1 * x2),,None,,5.0,,0.0001,0.514,-0.086,-14.373,0.686,0.205,0.336,0.331,500.0
CART,MCAR,medium,0.3,10,I(x2 ** 2),,None,,5.0,,0.0001,0.287,0.037,14.984,0.972,0.177,0.34,0.331,500.0
CART,MCAR,medium,0.3,10,I(x3 * z),,None,,5.0,,0.0001,0.137,-0.013,-8.996,1.0,0.303,0.282,0.331,500.0
CART,MCAR,medium,0.3,10,x1,,None,,5.0,,0.0001,0.239,-0.061,-20.296,0.874,0.188,0.296,0.331,500.0
CART,MCAR,medium,0.3,10,x2,,None,,5.0,,0.0001,0.279,-0.021,-6.85,0.992,0.201,0.312,0.331,500.0
CART,MCAR,medium,0.3,10,x3,,None,,5.0,,0.0001,0.243,0.043,21.595,0.986,0.227,0.287,0.331,500.0
CART,MCAR,medium,0.3,10,z,,None,,5.0,,0.0001,0.215,-0.035,-13.936,0.996,0.305,0.286,0.331,500.0
CART,MCAR,medium,0.3,10,I(x1 * x2),,None,,10.0,,0.0001,0.506,-0.094,-15.705,0.642,0.211,0.359,0.298,500.0
CART,MCAR,medium,0.3,10,I(x2 ** 2),,None,,10.0,,0.0001,0.287,0.037,14.609,0.956,0.181,0.352,0.298,500.0
CART,MCAR,medium,0.3,10,I(x3 * z),,None,,10.0,,0.0001,0.135,-0.015,-9.909,1.0,0.309,0.295,0.298,500.0
CART,MCAR,medium,0.3,10,x1,,None,,10.0,,0.0001,0.237,-0.063,-20.863,0.886,0.193,0.318,0.298,500.0
CART,MCAR,medium,0.3,10,x2,,None,,10.0,,0.0001,0.281,-0.019,-6.24,0.994,0.204,0.318,0.298,500.0
CART,MCAR,medium,0.3,10,x3,,None,,10.0,,0.0001,0.238,0.038,19.057,0.992,0.231,0.293,0.298,500.0
CART,MCAR,medium,0.3,10,z,,None,,10.0,,0.0001,0.208,-0.042,-16.642,0.994,0.308,0.284,0.298,500.0
CART,MCAR,medium,0.3,20,I(x1 * x2),,None,,5.0,,0.0001,0.514,-0.086,-14.307,0.696,0.204,0.334,0.639,500.0
CART,MCAR,medium,0.3,20,I(x2 ** 2),,None,,5.0,,0.0001,0.287,0.037,14.84,0.956,0.176,0.336,0.639,500.0
CART,MCAR,medium,0.3,20,I(x3 * z),,None,,5.0,,0.0001,0.136,-0.014,-9.56,1.0,0.301,0.279,0.639,500.0
CART,MCAR,medium,0.3,20,x1,,None,,5.0,,0.0001,0.239,-0.061,-20.241,0.872,0.187,0.294,0.639,500.0
CART,MCAR,medium,0.3,20,x2,,None,,5.0,,0.0001,0.28,-0.02,-6.734,0.994,0.199,0.305,0.639,500.0
CART,MCAR,medium,0.3,20,x3,,None,,5.0,,0.0001,0.244,0.044,21.78,0.992,0.226,0.28,0.639,500.0
CART,MCAR,medium,0.3,20,z,,None,,5.0,,0.0001,0.214,-0.036,-14.268,0.996,0.304,0.284,0.639,500.0
CART,MCAR,medium,0.3,20,I(x1 * x2),,None,,10.0,,0.0001,0.506,-0.094,-15.683,0.644,0.21,0.357,0.48,500.0
CART,MCAR,medium,0.3,20,I(x2 ** 2),,None,,10.0,,0.0001,0.287,0.037,14.634,0.96,0.18,0.351,0.48,500.0
CART,MCAR,medium,0.3,20,I(x3 * z),,None,,10.0,,0.0001,0.135,-0.015,-10.225,1.0,0.306,0.288,0.48,500.0
CART,MCAR,medium,0.3,20,x1,,None,,10.0,,0.0001,0.238,-0.062,-20.726,0.884,0.192,0.312,0.48,500.0
CART,MCAR,medium,0.3,20,x2,,None,,10.0,,0.0001,0.281,-0.019,-6.299,0.996,0.202,0.313,0.48,500.0
CART,MCAR,medium,0.3,20,x3,,None,,10.0,,0.0001,0.239,0.039,19.281,0.996,0.229,0.287,0.48,500.0
CART,MCAR,medium,0.3,20,z,,None,,10.0,,0.0001,0.208,-0.042,-16.954,0.996,0.307,0.285,0.48,500.0
CART,MCAR,medium,0.5,10,I(x1 * x2),,None,,5.0,,0.0001,0.47,-0.13,-21.61,0.452,0.254,0.523,0.331,500.0
CART,MCAR,medium,0.5,10,I(x2 ** 2),,None,,5.0,,0.0001,0.297,0.047,18.628,0.9,0.217,0.515,0.331,500.0
CART,MCAR,medium,0.5,10,I(x3 * z),,None,,5.0,,0.0001,0.11,-0.04,-26.532,0.992,0.349,0.417,0.331,500.0
CART,MCAR,medium,0.5,10,x1,,None,,5.0,,0.0001,0.231,-0.069,-22.944,0.844,0.228,0.479,0.331,500.0
CART,MCAR,medium,0.5,10,x2,,None,,5.0,,0.0001,0.286,-0.014,-4.672,0.978,0.241,0.478,0.331,500.0
CART,MCAR,medium,0.5,10,x3,,None,,5.0,,0.0001,0.238,0.038,19.167,0.986,0.262,0.415,0.331,500.0
CART,MCAR,medium,0.5,10,z,,None,,5.0,,0.0001,0.176,-0.074,-29.576,0.972,0.355,0.427,0.331,500.0
CART,MCAR,medium,0.5,10,I(x1 * x2),,None,,10.0,,0.0001,0.45,-0.15,-25.076,0.336,0.267,0.548,0.332,500.0
