dataset,mechanism,method,missing_rate_target,n_imputations,maxit,n_obs,n_reps,runtime_sec_mean,missing_rate_achieved_mean,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
categorical_interaction,MAR,cart,0.2,20,1,1000,1000,0.4551730420589447,0.200151,C(cat)[T.B],0.0,0.0392849298994752,0.0915631167418165,0.358927417627921,0.0392849298994752,,0.0569427446712953,1.0,0.2494719328611634
categorical_interaction,MAR,cart,0.2,20,1,1000,1000,0.4551730420589447,0.200151,C(cat)[T.C],0.0,0.0061869749221757,0.0985569567587287,0.3863432704942166,0.0061869749221757,,0.0447939752937419,1.0,0.2475676979435194
categorical_interaction,MAR,cart,0.2,20,1,1000,1000,0.4551730420589447,0.200151,x1,0.3,0.2854436518517854,0.0704146217727827,0.2760253173493084,-0.0145563481482146,-4.852116049404874,0.036988040844146,0.999,0.3117448238936198
categorical_interaction,MAR,cart,0.2,20,1,1000,1000,0.4551730420589447,0.200151,x1:C(cat)[T.B],0.8,0.8798354335191727,0.0952726027724674,0.3734686028680725,0.0798354335191726,9.979429189896583,0.0926621486157337,0.988,0.3265692162714181
categorical_interaction,MAR,cart,0.2,20,1,1000,1000,0.4551730420589447,0.200151,x1:C(cat)[T.C],-0.8,-0.8454062012186834,0.107799604203547,0.4225744484779044,-0.0454062012186832,5.675775152335408,0.0667398051634731,1.0,0.3184790298205985
categorical_interaction,MAR,cart,0.2,20,1,1000,1000,0.4551730420589447,0.200151,x2,0.3,0.2918965577119641,0.0374869844375898,0.1469489789953522,-0.0081034422880358,-2.701147429345298,0.0192892837640651,1.0,0.2433863457711295
categorical_interaction,MAR,cart,0.2,20,1,1000,1000,0.4551730420589447,0.200151,x3,0.2,0.1350035572862885,0.0384013526631309,0.1505333024394732,-0.0649964427137114,-32.49822135685574,0.0679416043775267,0.682,0.2810304347878355
categorical_interaction,MAR,cart,0.2,20,1,1000,1000,0.4551730420589447,0.200151,z,0.25,0.1144429894941543,0.0747317957231227,0.2929486392346413,-0.1355570105058457,-54.22280420233828,0.1390067963273383,0.63,0.2107415652284162
categorical_interaction,MAR,cart,0.3,20,1,1000,1000,0.4720822682380676,0.3002619999999999,C(cat)[T.B],0.0,0.0485109424320352,0.1017744237871929,0.3989557412457965,0.0485109424320352,,0.0727408280654123,1.0,0.3696459355394418
categorical_interaction,MAR,cart,0.3,20,1,1000,1000,0.4720822682380676,0.3002619999999999,C(cat)[T.C],0.0,0.0072201045466386,0.1088575226059936,0.426721488615495,0.0072201045466386,,0.0589128859443667,1.0,0.3605349992920352
categorical_interaction,MAR,cart,0.3,20,1,1000,1000,0.4720822682380676,0.3002619999999999,x1,0.3,0.284302511186047,0.0810972052688377,0.317901044653844,-0.0156974888139529,-5.232496271317647,0.0465104466424224,0.998,0.4546931572339863
