dataset,mechanism,method,missing_rate_target,n_imputations,maxit,n_obs,n_reps,runtime_sec_mean,missing_rate_achieved_mean,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
linear_main,MAR,rf,0.2,20,1,1000,1000,2.19890935754776,0.199984,z,0.25,0.2292308673532244,0.0698094923104752,0.273653209857063,-0.0207691326467755,-8.307653058710212,0.0380574096595802,1.0,0.1702399697220766
linear_main,MAR,rf,0.3,20,1,1000,1000,2.496527446269989,0.299985,x1,0.3,0.2488670505842092,0.0452751516462643,0.1774785944533562,-0.0511329494157907,-17.04431647193026,0.0588252403680471,0.898,0.2528176797008412
linear_main,MAR,rf,0.3,20,1,1000,1000,2.496527446269989,0.299985,x2,0.3,0.2732537339890057,0.047185799772631,0.1849683351087138,-0.0267462660109943,-8.91542200366478,0.0392080087008756,0.991,0.2382423329895028
linear_main,MAR,rf,0.3,20,1,1000,1000,2.496527446269989,0.299985,x3,0.2,0.2323835150514044,0.0396284755814764,0.1553436242793874,0.0323835150514044,16.1917575257022,0.0430937605215624,0.938,0.2652136585856763
linear_main,MAR,rf,0.3,20,1,1000,1000,2.496527446269989,0.299985,z,0.25,0.213756140884678,0.0731623205731969,0.2867962966469319,-0.0362438591153219,-14.497543646128788,0.0539996757851847,1.0,0.2359124879279001
linear_main,MAR,rf,0.5,20,1,1000,1000,2.955544044494629,0.499706,x1,0.3,0.252629136255785,0.049560628395113,0.1942776633088432,-0.0473708637442149,-15.790287914738322,0.0641231625389713,0.871,0.3607203333193339
linear_main,MAR,rf,0.5,20,1,1000,1000,2.955544044494629,0.499706,x2,0.3,0.2667959660516632,0.0515356511235247,0.2020197524042169,-0.0332040339483367,-11.068011316112242,0.0556567276503442,0.933,0.3454099982641987
linear_main,MAR,rf,0.5,20,1,1000,1000,2.955544044494629,0.499706,x3,0.2,0.2185359699286918,0.0430503563838559,0.1687573970247154,0.0185359699286918,9.267984964345922,0.0452286780941808,0.933,0.3624206896484768
linear_main,MAR,rf,0.5,20,1,1000,1000,2.955544044494629,0.499706,z,0.25,0.1778312151405535,0.0798256479905174,0.3129165401228282,-0.0721687848594464,-28.867513943778576,0.0901478520106027,0.937,0.3427160460939286
linear_main,MAR,sample,0.2,20,1,1000,1000,0.2404223380088806,0.199984,x1,0.3,0.1999797156564556,0.0463894594605573,0.1818466810853847,-0.1000202843435443,-33.34009478118144,0.1018697433044185,0.32,0.2081633367266203
linear_main,MAR,sample,0.2,20,1,1000,1000,0.2404223380088806,0.199984,x2,0.3,0.2179901195640229,0.0485163327649894,0.1901840244387585,-0.082009880435977,-27.33662681199236,0.0843557683079294,0.75,0.1973759986732259
linear_main,MAR,sample,0.2,20,1,1000,1000,0.2404223380088806,0.199984,x3,0.2,0.1738483306250877,0.040792631393114,0.1599071150610069,-0.0261516693749122,-13.075834687456137,0.0311882596150425,0.998,0.228638635693792
linear_main,MAR,sample,0.2,20,1,1000,1000,0.2404223380088806,0.199984,z,0.25,0.1734357499714603,0.0753152620404696,0.295235827198641,-0.0765642500285397,-30.62570001141588,0.0822849774176952,0.99,0.1972983807035213
linear_main,MAR,sample,0.3,20,1,1000,1000,0.2405144486427307,0.299985,x1,0.3,0.1769096116268371,0.0497037655222014,0.1948387608470297,-0.1230903883731629,-41.03012945772097,0.1248711553351214,0.118,0.2753199436857385
linear_main,MAR,sample,0.3,20,1,1000,1000,0.2405144486427307,0.299985,x2,0.3,0.188113613390888,0.0518287220807819,0.2031685905566654,-0.111886386609112,-37.29546220303734,0.1140066610889263,0.333,0.2613376559616205
linear_main,MAR,sample,0.3,20,1,1000,1000,0.2405144486427307,0.299985,x3,0.2,0.1470992339114355,0.0433723094851923,0.1700194531819539,-0.0529007660885644,-26.450383044282223,0.055948949510324,0.958,0.2830711176090284
linear_main,MAR,sample,0.3,20,1,1000,1000,0.2405144486427307,0.299985,z,0.25,0.1441877758475894,0.0806625741006216,0.3161972904744367,-0.1058122241524106,-42.324889660964246,0.1111045381454964,0.941,0.2645236695181207
linear_main,MAR,sample,0.5,20,1,1000,1000,0.2409548225402832,0.499706,x1,0.3,0.13097522760233,0.0548068057434315,0.2148426785142517,-0.1690247723976699,-56.3415907992233,0.1705079081829089,0.0,0.3581670650229018
linear_main,MAR,sample,0.5,20,1,1000,1000,0.2409548225402832,0.499706,x2,0.3,0.131539965304061,0.0572918686568632,0.2245841251349039,-0.1684600346959389,-56.15334489864633,0.1701206952731938,0.01,0.3491586817563452
linear_main,MAR,sample,0.5,20,1,1000,1000,0.2409548225402832,0.499706,x3,0.2,0.1037103906911659,0.0473195376717004,0.1854925876730657,-0.096289609308834,-48.14480465441701,0.098033878854703,0.417,0.3523041620179734
linear_main,MAR,sample,0.5,20,1,1000,1000,0.2409548225402832,0.499706,z,0.25,0.0952085311264806,0.0891404178680383,0.3494304380427103,-0.1547914688735193,-61.916587549407744,0.1587466255033753,0.694,0.3521241887191108
linear_main,MCAR,cart,0.2,20,1,1000,1000,0.3625657367706298,0.199979,x1,0.3,0.2397850308244871,0.0432813118737719,0.1696627425451862,-0.0602149691755128,-20.071656391837607,0.0636049706221814,0.875,0.1962298423549075
linear_main,MCAR,cart,0.2,20,1,1000,1000,0.3625657367706298,0.199979,x2,0.3,0.2819835998869114,0.045281947822743,0.1775052354651529,-0.0180164001130885,-6.005466704362841,0.0277364332433395,1.0,0.1861886148582059
linear_main,MCAR,cart,0.2,20,1,1000,1000,0.3625657367706298,0.199979,x3,0.2,0.2460917578855532,0.0374847926650442,0.1469403872469735,0.0460917578855532,23.04587894277664,0.0493168867549238,0.943,0.1934346671772435
linear_main,MCAR,cart,0.2,20,1,1000,1000,0.3625657367706298,0.199979,z,0.25,0.2371037702973463,0.0705043969696419,0.2763772361209963,-0.0128962297026536,-5.158491881061465,0.0330197033839229,1.0,0.1906880488030396
linear_main,MCAR,cart,0.3,20,1,1000,1000,0.371119094133377,0.299916,x1,0.3,0.2373855058679881,0.0460673016831652,0.1805838225980077,-0.0626144941320119,-20.871498044003967,0.0680817707659214,0.858,0.2840201269833811
linear_main,MCAR,cart,0.3,20,1,1000,1000,0.371119094133377,0.299916,x2,0.3,0.2819933692495283,0.0480585405180288,0.188389478830673,-0.0180066307504717,-6.0022102501572405,0.0330507576921845,0.998,0.2712139806025983
linear_main,MCAR,cart,0.3,20,1,1000,1000,0.371119094133377,0.299916,x3,0.2,0.2422621254574125,0.0396476746942206,0.155418884801345,0.0422621254574124,21.131062728706222,0.0482210499133793,0.933,0.2726952633870163
linear_main,MCAR,cart,0.3,20,1,1000,1000,0.371119094133377,0.299916,z,0.25,0.222023178819936,0.0747835918390161,0.2931516800089434,-0.0279768211800639,-11.190728472025596,0.0466895074740566,0.999,0.2744735810619591
linear_main,MCAR,cart,0.5,20,1,1000,1000,0.4113494143486023,0.500538,x1,0.3,0.2320518627051046,0.053246778743733,0.2087273726754334,-0.0679481372948953,-22.649379098298446,0.0786216527065524,0.813,0.4503968037161603
linear_main,MCAR,cart,0.5,20,1,1000,1000,0.4113494143486023,0.500538,x2,0.3,0.2823891705122928,0.0553366429815089,0.2169196404875152,-0.0176108294877071,-5.8702764959023765,0.045791722447814,0.986,0.4372222564751281
linear_main,MCAR,cart,0.5,20,1,1000,1000,0.4113494143486023,0.500538,x3,0.2,0.2324350794199201,0.0454169103871234,0.1780342887175239,0.0324350794199201,16.217539709960047,0.047388285873426,0.949,0.433973991491795
linear_main,MCAR,cart,0.5,20,1,1000,1000,0.4113494143486023,0.500538,z,0.25,0.189902705721153,0.0860898027250418,0.3374720266821639,-0.0600972942788469,-24.038917711538783,0.0789614343118005,0.974,0.4401657074825623
linear_main,MCAR,rf,0.2,20,1,1000,1000,2.201630565881729,0.199979,x1,0.3,0.2404670499433325,0.0426466261474667,0.1671747744980697,-0.0595329500566674,-19.84431668555581,0.0629579968294759,0.863,0.1712490577147793
linear_main,MCAR,rf,0.2,20,1,1000,1000,2.201630565881729,0.199979,x2,0.3,0.2819076185174968,0.0447977310421291,0.1756071056851461,-0.0180923814825031,-6.030793827501039,0.0277482255736221,0.999,0.1672229604003811
linear_main,MCAR,rf,0.2,20,1,1000,1000,2.201630565881729,0.199979,x3,0.2,0.2482516344888245,0.036975331887754,0.1449433009999957,0.0482516344888245,24.12581724441226,0.0513924479555007,0.923,0.1702956166437851
linear_main,MCAR,rf,0.2,20,1,1000,1000,2.201630565881729,0.199979,z,0.25,0.2402108501721045,0.0694562411700444,0.2722684653865741,-0.0097891498278954,-3.915659931158185,0.0322776943216451,1.0,0.1651578649296746
linear_main,MCAR,rf,0.3,20,1,1000,1000,2.488932344913483,0.299916,x1,0.3,0.2386790557231405,0.0445943340587872,0.1748097895104462,-0.0613209442768595,-20.44031475895317,0.0667786751038601,0.846,0.2353814678950291
linear_main,MCAR,rf,0.3,20,1,1000,1000,2.488932344913483,0.299916,x2,0.3,0.2814157699537171,0.0468568673880133,0.1836789201610124,-0.0185842300462828,-6.194743348760958,0.0330821742967977,0.995,0.2323091449231051
linear_main,MCAR,rf,0.3,20,1,1000,1000,2.488932344913483,0.299916,x3,0.2,0.2448889595432296,0.0387522728725498,0.1519089096603952,0.0448889595432295,22.444479771614777,0.0507190747923556,0.908,0.2376738907922269
linear_main,MCAR,rf,0.3,20,1,1000,1000,2.488932344913483,0.299916,z,0.25,0.2260727995291417,0.0725489990563016,0.2843920763007025,-0.0239272004708582,-9.570880188343304,0.0449347415357723,1.0,0.2281982095356179
linear_main,MCAR,rf,0.5,20,1,1000,1000,2.9562838549613955,0.500538,x1,0.3,0.2340903087410419,0.04872113471762,0.1909868480930704,-0.0659096912589581,-21.96989708631937,0.076968123798931,0.771,0.3468401064665872
linear_main,MCAR,rf,0.5,20,1,1000,1000,2.9562838549613955,0.500538,x2,0.3,0.282126054470053,0.0509187072818446,0.199601332544831,-0.0178739455299468,-5.957981843315633,0.0455944694686862,0.977,0.3374637520753068
linear_main,MCAR,rf,0.5,20,1,1000,1000,2.9562838549613955,0.500538,x3,0.2,0.2378787312964435,0.0423688690916319,0.1660859668391973,0.0378787312964435,18.93936564822178,0.0516408386288414,0.895,0.3499206856348383
linear_main,MCAR,rf,0.5,20,1,1000,1000,2.9562838549613955,0.500538,z,0.25,0.1983155025465574,0.0788282820093751,0.3090068654767507,-0.0516844974534425,-20.67379898137704,0.0734923350145795,0.975,0.333567701101114
linear_main,MCAR,sample,0.2,20,1,1000,1000,0.2387257590293884,0.199979,x1,0.3,0.1957887746284901,0.0460213938310092,0.1804038638175562,-0.1042112253715099,-34.73707512383663,0.1060532065101324,0.247,0.1988434000073641
linear_main,MCAR,sample,0.2,20,1,1000,1000,0.2387257590293884,0.199979,x2,0.3,0.2248165567132269,0.0485476576437164,0.1903068179633682,-0.0751834432867729,-25.06114776225766,0.0778074946768861,0.844,0.2018800999323812
linear_main,MCAR,sample,0.2,20,1,1000,1000,0.2387257590293884,0.199979,x3,0.2,0.2021544639467291,0.0399048490477662,0.1564270082672436,0.0021544639467291,1.077231973364554,0.0169132624328321,1.0,0.1979650321789928
linear_main,MCAR,sample,0.2,20,1,1000,1000,0.2387257590293884,0.199979,z,0.25,0.2126838992111431,0.0753567435264039,0.2953984346235032,-0.0373161007888568,-14.926440315542727,0.0481161144618206,1.0,0.2013523285106095
linear_main,MCAR,sample,0.3,20,1,1000,1000,0.2404075586795807,0.299916,x1,0.3,0.1716494128383225,0.0491674843304868,0.1927365385755083,-0.1283505871616774,-42.78352905389248,0.1302989667465006,0.082,0.2600679262837123
linear_main,MCAR,sample,0.3,20,1,1000,1000,0.2404075586795807,0.299916,x2,0.3,0.1959141580278641,0.0517823891463784,0.2029869654538033,-0.1040858419721358,-34.69528065737861,0.1066522379947417,0.457,0.2606476231405751
linear_main,MCAR,sample,0.3,20,1,1000,1000,0.2404075586795807,0.299916,x3,0.2,0.1765902275268467,0.0426373316861324,0.1671383402096392,-0.0234097724731532,-11.704886236576645,0.0306695075115128,1.0,0.2597200648479809
linear_main,MCAR,sample,0.3,20,1,1000,1000,0.2404075586795807,0.299916,z,0.25,0.185573544201474,0.0804929592347422,0.3155324002001897,-0.0644264557985259,-25.77058231941039,0.0728974960804567,0.995,0.2626034632519547
linear_main,MCAR,sample,0.5,20,1,1000,1000,0.2907685377597809,0.500538,x1,0.3,0.1223889083593584,0.0547777677990993,0.2147288497724696,-0.1776110916406414,-59.203697213547166,0.179291330662021,0.005,0.355408197776581
linear_main,MCAR,sample,0.5,20,1,1000,1000,0.2907685377597809,0.500538,x2,0.3,0.1398825259403619,0.0575938838551835,0.2257680247123197,-0.160117474059638,-53.37249135321268,0.1620749284454461,0.042,0.3531709488016317
linear_main,MCAR,sample,0.5,20,1,1000,1000,0.2907685377597809,0.500538,x3,0.2,0.1248742279540553,0.0474933321388391,0.1861738619842494,-0.0751257720459446,-37.56288602297232,0.0781190534700257,0.801,0.3545639922174281
linear_main,MCAR,sample,0.5,20,1,1000,1000,0.2907685377597809,0.500538,z,0.25,0.1323563974702048,0.0891972932224156,0.3496533894318693,-0.1176436025297952,-47.05744101191808,0.123294572162095,0.926,0.3500918238795408
