dataset,mechanism,method,missing_rate_target_per_var,n_imputations,maxit_used,n_obs,n_reps,runtime_sec_mean,achieved_missing_overall_mean,achieved_missing_y,achieved_missing_x1,achieved_missing_x2,achieved_missing_x3,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
linear_main,MAR_cross,rf,0.2,20,10,1000,500,76.14860570001602,0.2000235,0.2002,0.199752,0.199798,0.200344,x3,0.2,0.2412054974746644,0.0439240369255863,0.1721822247482984,0.0412054974746644,20.602748737332213,0.0515744313775274,0.912,0.3958094551686168
linear_main,MAR_cross,rf,0.2,10,10,1000,500,38.79253158760071,0.2000235,0.2002,0.199752,0.199798,0.200344,x3,0.2,0.2410617983338951,0.0443486946389099,0.1738468829845268,0.041061798333895,20.53089916694755,0.0516556104738017,0.914,0.3984381864466427
linear_main,MAR_cross,rf,0.2,20,10,1000,500,76.14860570001602,0.2000235,0.2002,0.199752,0.199798,0.200344,z,0.25,0.2247299650464595,0.0713254478212023,0.2795957554591131,-0.0252700349535404,-10.108013981416178,0.0419101833566068,1.0,0.196101595180248
linear_main,MAR_cross,rf,0.2,10,10,1000,500,38.79253158760071,0.2000235,0.2002,0.199752,0.199798,0.200344,z,0.25,0.2247465520002658,0.0717607957560297,0.2813023193636367,-0.0252534479997341,-10.101379199893666,0.0427744185136484,1.0,0.2029231490934467
linear_main,MAR_cross,rf,0.4,20,10,1000,500,97.47785331106186,0.400176,0.399258,0.40019,0.401024,0.400232,x1,0.3,0.2468406265633797,0.0694047627616087,0.2720666700255062,-0.0531593734366202,-17.71979114554009,0.0812363119887782,0.918,0.670201535702966
linear_main,MAR_cross,rf,0.4,10,10,1000,500,50.70621210193634,0.400176,0.399258,0.40019,0.401024,0.400232,x1,0.3,0.2467817986640681,0.0703155509033663,0.275636959541196,-0.0532182013359318,-17.73940044531062,0.0816692340904297,0.914,0.6639699785431791
linear_main,MAR_cross,rf,0.4,20,10,1000,500,97.47785331106186,0.400176,0.399258,0.40019,0.401024,0.400232,x2,0.3,0.2364223277525199,0.0707772844584579,0.2774469550771551,-0.06357767224748,-21.19255741582669,0.0862431244659551,0.902,0.6454922209593644
linear_main,MAR_cross,rf,0.4,10,10,1000,500,50.70621210193634,0.400176,0.399258,0.40019,0.401024,0.400232,x2,0.3,0.236699070490238,0.0712285968902895,0.279216099809935,-0.063300929509762,-21.100309836587336,0.0864353772135281,0.898,0.6371142354336905
linear_main,MAR_cross,rf,0.4,20,10,1000,500,97.47785331106186,0.400176,0.399258,0.40019,0.401024,0.400232,x3,0.2,0.2374557049418526,0.0579563038103022,0.2271887109363847,0.0374557049418525,18.72785247092629,0.0661126364044365,0.914,0.6360761745355217
linear_main,MAR_cross,rf,0.4,10,10,1000,500,50.70621210193634,0.400176,0.399258,0.40019,0.401024,0.400232,x3,0.2,0.2371435908304008,0.0583083611422811,0.228568775677742,0.0371435908304008,18.571795415200437,0.0666974556227699,0.898,0.6267996761810991
linear_main,MAR_cross,rf,0.4,20,10,1000,500,97.47785331106186,0.400176,0.399258,0.40019,0.401024,0.400232,z,0.25,0.1872877355892884,0.0796222257656498,0.3121191250013476,-0.0627122644107115,-25.08490576428461,0.0772440552417643,0.982,0.3337750243778236
linear_main,MAR_cross,rf,0.4,10,10,1000,500,50.70621210193634,0.400176,0.399258,0.40019,0.401024,0.400232,z,0.25,0.1866392757149346,0.0802461861178371,0.3145650495819215,-0.0633607242850653,-25.344289714026157,0.0785437116814004,0.972,0.3370590390093125
linear_main,MAR_monotone,cart,0.2,20,10,1000,500,7.2872284984588624,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x1,0.3,0.2376207135257098,0.0613746300526109,0.2405885498062348,-0.0623792864742901,-20.79309549143005,0.0827034237265054,0.838,0.5840972856908972
linear_main,MAR_monotone,cart,0.2,10,10,1000,500,3.671966665744781,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x1,0.3,0.2359258894055613,0.0619699896649813,0.2429223594867269,-0.0640741105944387,-21.35803686481291,0.083865936084188,0.832,0.5800686075008258
linear_main,MAR_monotone,cart,0.2,20,10,1000,500,7.2872284984588624,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x2,0.3,0.2564472831169247,0.0635655481342231,0.2491769486861547,-0.0435527168830752,-14.517572294358407,0.0693517370800643,0.924,0.5659140311123614
linear_main,MAR_monotone,cart,0.2,10,10,1000,500,3.671966665744781,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x2,0.3,0.2582336875089749,0.0639913949466324,0.2508462681907992,-0.041766312491025,-13.922104163675003,0.0692009543674772,0.928,0.5588364971120352
linear_main,MAR_monotone,cart,0.2,20,10,1000,500,7.2872284984588624,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x3,0.2,0.2111140718257044,0.0522457998070195,0.2048035352435166,0.0111140718257044,5.557035912852225,0.046020253771789,0.97,0.5595321613385759
linear_main,MAR_monotone,cart,0.2,10,10,1000,500,3.671966665744781,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x3,0.2,0.2106828482184437,0.0529634467206798,0.2076167111450648,0.0106828482184437,5.341424109221869,0.0463842779171426,0.97,0.5586051230939172
linear_main,MAR_monotone,cart,0.2,20,10,1000,500,7.2872284984588624,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,z,0.25,0.1620917575505167,0.0953674823308596,0.3738405307369698,-0.0879082424494832,-35.1632969797933,0.1099743589986119,0.916,0.534265786455981
linear_main,MAR_monotone,cart,0.2,10,10,1000,500,3.671966665744781,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,z,0.25,0.1616436320007102,0.096055346120666,0.3765369567930108,-0.0883563679992898,-35.34254719971592,0.1114087765879989,0.908,0.5292369485558234
linear_main,MAR_monotone,cart,0.4,20,10,1000,500,9.531562315940857,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x1,0.3,0.2084120662464226,0.0975608444107242,0.3824385100900392,-0.0915879337535773,-30.529311251192443,0.1327088557745812,0.792,0.8280720210071429
linear_main,MAR_monotone,cart,0.4,10,10,1000,500,4.737829434871673,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x1,0.3,0.2073873020573969,0.0984383989669136,0.3858785239503014,-0.092612697942603,-30.87089931420103,0.1341489614426767,0.804,0.8198190711659836
linear_main,MAR_monotone,cart,0.4,20,10,1000,500,9.531562315940857,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x2,0.3,0.2151866198862801,0.1031565003105758,0.4043734812174572,-0.0848133801137198,-28.27112670457328,0.1344405660327771,0.816,0.8250121107358771
linear_main,MAR_monotone,cart,0.4,10,10,1000,500,4.737829434871673,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x2,0.3,0.2159122668087097,0.1045666903613955,0.4099014262166705,-0.0840877331912903,-28.029244397096768,0.1355853614580664,0.814,0.8199940711130735
linear_main,MAR_monotone,cart,0.4,20,10,1000,500,9.531562315940857,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x3,0.2,0.1831054030850312,0.0836381400357878,0.3278615089402884,-0.0168945969149687,-8.44729845748439,0.0922590487106302,0.908,0.8121281656024212
linear_main,MAR_monotone,cart,0.4,10,10,1000,500,4.737829434871673,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x3,0.2,0.1837835182683637,0.0844703876691191,0.3311239196629473,-0.0162164817316363,-8.10824086581816,0.0939349782705989,0.892,0.8014117218148632
linear_main,MAR_monotone,cart,0.4,20,10,1000,500,9.531562315940857,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,z,0.25,0.0861593255195078,0.1357919725753352,0.5323045324953142,-0.1638406744804921,-65.53626979219686,0.1883229940113865,0.71,0.7243592711022239
linear_main,MAR_monotone,cart,0.4,10,10,1000,500,4.737829434871673,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,z,0.25,0.0854654445872424,0.1353611391946944,0.5306156656432022,-0.1645345554127575,-65.81382216510299,0.1897397881983213,0.668,0.7086366535064856
linear_main,MAR_monotone,rf,0.2,20,10,1000,500,101.48849312496183,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x1,0.3,0.2437422146283235,0.0513200509520327,0.2011745997319685,-0.0562577853716764,-18.752595123892156,0.0794977828395244,0.778,0.4123969487263361
